season,year,detector,species,site,date,recording_start,recording_length,detection_time,real_detection_time,real_detection_time,rounded_to_half_hour,duplicate,sunset,civil_dusk,nautical_dusk,astronomical_dusk,astronomical_dawn,nautical_dawn,civil_dawn,sunrise,moon_altitude,moon_illumination
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,0:01:12,21:10:44,09/01/20 21:10:44,21:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,11.9,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,0:01:13,21:10:44,09/01/20 21:10:44,21:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,11.9,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,0:02:25,21:11:57,09/01/20 21:11:57,21:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,12.1,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,0:07:18,21:16:50,09/01/20 21:16:50,21:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,12.9,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,0:07:55,21:17:27,09/01/20 21:17:27,21:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,13.0,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,0:17:04,21:26:35,09/01/20 21:26:35,21:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,14.3,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,0:17:08,21:26:39,09/01/20 21:26:39,21:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,14.4,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,0:17:30,21:27:02,09/01/20 21:27:02,21:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,14.4,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,0:17:36,21:27:07,09/01/20 21:27:07,21:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,14.4,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,0:27:11,21:36:42,09/01/20 21:36:42,21:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,15.9,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,0:27:24,21:36:55,09/01/20 21:36:55,21:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,15.9,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,0:39:15,21:48:47,09/01/20 21:48:47,22:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,17.6,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,0:53:30,22:03:02,09/01/20 22:03:02,22:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,19.6,99.8
Fall,2020,thrush,nowa,MSGR,09/01/20,21:09:32,7:21:27,0:53:31,22:03:03,09/01/20 22:03:03,22:00:00,no,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,19.6,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,0:53:32,22:03:04,09/01/20 22:03:04,22:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,19.6,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,0:56:25,22:05:57,09/01/20 22:05:57,22:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,20.0,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,1:05:50,22:15:21,09/01/20 22:15:21,22:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,21.3,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,1:06:06,22:15:38,09/01/20 22:15:38,22:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,21.3,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,1:06:09,22:15:40,09/01/20 22:15:40,22:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,21.3,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,1:20:24,22:29:55,09/01/20 22:29:55,22:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,23.1,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,1:20:25,22:29:57,09/01/20 22:29:57,22:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,23.1,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,1:36:13,22:45:44,09/01/20 22:45:44,23:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,25.0,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,1:49:31,22:59:03,09/01/20 22:59:03,23:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,26.5,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,1:49:32,22:59:03,09/01/20 22:59:03,23:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,26.5,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,1:49:35,22:59:06,09/01/20 22:59:06,23:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,26.6,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,1:49:36,22:59:07,09/01/20 22:59:07,23:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,26.6,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,1:49:38,22:59:09,09/01/20 22:59:09,23:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,26.6,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,1:49:40,22:59:11,09/01/20 22:59:11,23:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,26.6,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,1:50:09,22:59:41,09/01/20 22:59:41,23:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,26.6,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,2:03:17,23:12:49,09/01/20 23:12:49,23:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,28.0,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,2:10:10,23:19:41,09/01/20 23:19:41,23:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,28.7,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,2:10:11,23:19:43,09/01/20 23:19:43,23:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,28.7,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,2:15:13,23:24:44,09/01/20 23:24:44,23:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,29.1,99.8
Fall,2020,thrush,nowa,MSGR,09/01/20,21:09:32,7:21:27,2:17:17,23:26:48,09/01/20 23:26:48,23:30:00,no,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,29.3,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,2:21:26,23:30:57,09/01/20 23:30:57,23:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,29.7,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,2:32:14,23:41:46,09/01/20 23:41:46,23:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,30.6,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,2:39:18,23:48:49,09/01/20 23:48:49,00:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,31.2,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,2:47:07,23:56:39,09/01/20 23:56:39,00:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,31.7,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,2:56:52,00:06:23,09/02/20 00:06:23,00:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,32.4,99.8
Fall,2020,thrush,nowa,MSGR,09/01/20,21:09:32,7:21:27,2:56:52,00:06:24,09/02/20 00:06:24,00:00:00,no,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,32.4,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,4:24:06,01:33:38,09/02/20 01:33:38,01:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,34.4,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,4:56:01,02:05:32,09/02/20 02:05:32,02:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,33.5,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,5:32:58,02:42:30,09/02/20 02:42:30,02:30:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,31.3,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,5:56:60,03:06:31,09/02/20 03:06:31,03:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,29.3,99.8
Fall,2020,thrush,,MSGR,09/01/20,21:09:32,7:21:27,5:58:18,03:07:49,09/02/20 03:07:49,03:00:00,,09/01/20 19:39:15,09/01/20 20:08:06,09/01/20 20:42:34,09/01/20 21:18:43,09/02/20 04:53:11,09/02/20 05:29:21,09/02/20 06:03:51,09/02/20 06:32:44,29.1,99.8
