season,year,detector,species,site,date,recording_start,recording_length,detection_time,real_detection_time,real_detection_time,rounded_to_half_hour,duplicate,sunset,civil_dusk,nautical_dusk,astronomical_dusk,astronomical_dawn,nautical_dawn,civil_dawn,sunrise,moon_altitude,moon_illumination
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:00:21,20:24:21,09/22/20 20:24:21,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,16.4,38.5
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:00:35,20:24:34,09/22/20 20:24:34,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,16.4,38.5
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:01:28,20:25:28,09/22/20 20:25:28,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,16.3,38.5
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:06:08,20:30:08,09/22/20 20:30:08,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,15.8,38.5
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:08:42,20:32:42,09/22/20 20:32:42,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,15.5,38.5
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:08:49,20:32:49,09/22/20 20:32:49,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,15.5,38.5
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:09:47,20:33:46,09/22/20 20:33:46,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,15.4,38.5
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:10:49,20:34:49,09/22/20 20:34:49,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,15.3,38.5
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:10:55,20:34:54,09/22/20 20:34:54,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,15.3,38.5
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:10:59,20:34:58,09/22/20 20:34:58,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,15.3,38.5
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:11:12,20:35:11,09/22/20 20:35:11,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,15.2,38.5
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:11:22,20:35:21,09/22/20 20:35:21,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,15.2,38.5
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:11:39,20:35:38,09/22/20 20:35:38,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,15.2,38.5
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:11:43,20:35:43,09/22/20 20:35:43,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,15.2,38.5
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:12:30,20:36:29,09/22/20 20:36:29,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,15.1,38.6
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:12:44,20:36:44,09/22/20 20:36:44,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,15.1,38.6
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:13:19,20:37:19,09/22/20 20:37:19,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,15.0,38.6
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:14:13,20:38:13,09/22/20 20:38:13,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,14.9,38.6
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:14:26,20:38:26,09/22/20 20:38:26,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,14.9,38.6
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:15:04,20:39:04,09/22/20 20:39:04,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,14.8,38.6
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:17:11,20:41:11,09/22/20 20:41:11,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,14.6,38.6
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:19:59,20:43:58,09/22/20 20:43:58,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,14.3,38.6
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:20:21,20:44:20,09/22/20 20:44:20,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,14.2,38.6
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:20:52,20:44:52,09/22/20 20:44:52,20:30:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,14.2,38.6
Fall,2020,tseep,,MSGR,09/22/20,20:24:00,8:37:00,0:22:50,20:46:50,09/22/20 20:46:50,21:00:00,,09/22/20 19:02:23,09/22/20 19:30:25,09/22/20 20:03:15,09/22/20 20:36:45,09/23/20 05:20:32,09/23/20 05:54:04,09/23/20 06:26:58,09/23/20 06:55:03,13.9,38.6
